book_id,book_name,author,publisher,release_dt,book_price,division,book_img
38,트럼프 2.0 시대,박종훈 지음,글로퍼스,2024-11-08,20000,B004,https://image.aladin.co.kr/product/35163/12/cover200/k362934121_1.jpg
39,찌그러져도 동그라미입니다,김창완 지음,웅진지식하우스,2024-03-28,17800,B009,https://image.aladin.co.kr/product/33600/15/cover200/890128068x_2.jpg
40,"바람이 분다, 가라",한강 지음,문학과지성사,2010-02-26,14000,B001,https://image.aladin.co.kr/product/646/75/cover200/8932020000_2.jpg
41,남에게 보여주려고 인생을 낭비하지 마라,"아르투어 쇼펜하우어 지음, 박제헌 옮김",페이지2(page2),2023-10-30,17500,B010,https://image.aladin.co.kr/product/32648/45/cover200/k072935654_1.jpg
42,두 사람의 인터내셔널,김기태 지음,문학동네,2024-05-15,16800,B001,https://image.aladin.co.kr/product/33899/7/cover200/s272038473_1.jpg
43,알사탕 제조법,백희나 지음,Storybowl(스토리보울),2024-03-21,10000,B012,https://image.aladin.co.kr/product/33651/8/cover200/k092939512_2.jpg
44,만화로 보는 3분 철학 1 : 서양 고대 철학편,김재훈.서정욱 지음,카시오페아,2021-07-02,16000,B010,https://image.aladin.co.kr/product/27434/96/cover200/k092733374_1.jpg
45,국어 잘하는 아이가 이깁니다,나민애 지음,김영사,2024-03-15,17500,B008,https://image.aladin.co.kr/product/33600/46/cover200/8934965401_1.jpg
46,작은 땅의 야수들,"김주혜 지음, 박소현 옮김",다산책방,2023-06-19,18000,B001,https://image.aladin.co.kr/product/31793/43/cover200/k212833117_2.jpg
47,더 좋은 문장을 쓰고 싶은 당신을 위한 필사책,이주윤 지음,빅피시,2024-08-07,22000,B010,https://image.aladin.co.kr/product/34390/31/cover200/k112932504_1.jpg
48,나는 읽고 쓰고 버린다,손웅정 지음,난다,2024-04-20,17000,B005,https://image.aladin.co.kr/product/33811/91/cover200/k842930585_2.jpg
49,2024 제15회 젊은작가상 수상작품집,김멜라 외 지음,문학동네,2024-03-31,7700,B001,https://image.aladin.co.kr/product/33711/13/cover200/8954638740_2.jpg
50,데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,2017-01-01,3300,B001,https://image.aladin.co.kr/product/9871/8/cover200/k042535550_2.jpg
51,ETS 토익기출 파트별 VOCA 보카,ETS 지음,(주)YBM(와이비엠),2022-12-23,13000,B002,https://image.aladin.co.kr/product/30746/36/cover200/8917237487_1.jpg
52,물고기는 존재하지 않는다,"룰루 밀러 지음, 정지인 옮김",곰출판,2021-12-17,17000,B013,https://image.aladin.co.kr/product/28465/73/cover200/k092835920_2.jpg
53,느리게 나이 드는 습관,정희원 지음,한빛라이프,2023-12-11,18000,B011,https://image.aladin.co.kr/product/32941/79/cover200/k032936148_2.jpg
54,죽이고 싶은 아이 2,이꽃님 지음,우리학교,2024-07-01,14000,B006,https://image.aladin.co.kr/product/34179/34/cover200/k122931213_1.jpg
55,사랑인 줄 알았는데 부정맥,"사단법인 전국유료실버타운협회 포푸라샤 편집부 지음, 이지수 옮김",포레스트북스,2024-01-17,13300,B001,https://image.aladin.co.kr/product/33180/70/cover200/k582937334_1.jpg
56,ETS 토익 단기 공략 750+ (LC + RC),ETS 지음,(주)YBM(와이비엠),2020-08-20,18000,B002,https://image.aladin.co.kr/product/24919/64/cover200/8917235948_1.jpg
57,좋은 문장 표현에서 문장부호까지!,이수연 지음,마리북스,2024-02-15,18000,B010,https://image.aladin.co.kr/product/33359/87/cover200/k072938909_1.jpg
58,클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북,"피오나 와트 지음, 올가 데미도바 그림",어스본코리아,2020-11-05,19800,B012,https://image.aladin.co.kr/product/25507/64/cover200/k322633121_1.jpg
59,여수의 사랑,한강 지음,문학과지성사,2018-11-09,16000,B001,https://image.aladin.co.kr/product/17393/4/cover200/8932034818_2.jpg
60,구의 증명,최진영 지음,은행나무,2023-04-26,12000,B001,https://image.aladin.co.kr/product/31561/46/cover200/k782832854_1.jpg
61,주술회전 26 쿼드러플 특장판,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),2024-06-25,6000,B014,https://image.aladin.co.kr/product/34152/44/cover200/k242931499_1.jpg
62,흐르는 강물처럼,"셸리 리드 지음, 김보람 옮김",다산책방,2024-01-08,17000,B001,https://image.aladin.co.kr/product/33161/91/cover200/k622937235_2.jpg
63,삼체 1~3 세트 - 전3권,"류츠신 지음, 이현아 외 옮김",자음과모음,2020-07-06,67000,B001,https://image.aladin.co.kr/product/24394/37/cover200/s302934110_1.jpg
64,초역 부처의 말,"코이케 류노스케 지음, 박재현 옮김",포레스트북스,2024-05-30,17800,B010,https://image.aladin.co.kr/product/33973/70/cover200/k682930444_1.jpg
65,해커스 토익 RC Reading(리딩) 기본서,David Cho 지음,해커스어학연구소(Hackers),2023-07-24,18800,B002,https://image.aladin.co.kr/product/30640/30/cover200/s432931235_1.jpg
66,불안 세대,"조너선 하이트 지음, 이충호 옮김",웅진지식하우스,2024-07-31,24800,B010,https://image.aladin.co.kr/product/34372/90/cover200/8901285894_1.jpg
67,"돈의 속성 (300쇄 리커버 에디션, 양장)",김승호 지음,스노우폭스북스,2020-06-15,17800,B004,https://image.aladin.co.kr/product/28884/59/cover200/s522832546_1.jpg
68,이기적 유전자,"리처드 도킨스 지음, 홍영남.이상임 옮김",을유문화사,2018-10-20,20000,B013,https://image.aladin.co.kr/product/17048/25/cover200/8932473900_1.jpg
69,코스모스,"칼 세이건 지음, 홍승수 옮김",사이언스북스,2006-12-20,19900,B013,https://image.aladin.co.kr/product/87/9/cover200/s922637499_3.jpg
70,압수수색,김용진.한상진.봉지욱 지음,뉴스타파,2024-10-11,18000,B003,https://image.aladin.co.kr/product/34709/3/cover200/k132933017_2.jpg
71,저속노화 식사법,정희원 지음,테이스트북스,2024-07-26,19000,B011,https://image.aladin.co.kr/product/34331/64/cover200/k332932798_1.jpg
72,주술회전 25 더블특전판,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),2024-02-27,6000,B014,https://image.aladin.co.kr/product/33511/23/cover200/k992938559_1.jpg
73,고층 입원실의 갱스터 할머니,양유진 지음,21세기북스,2024-03-20,18800,B009,https://image.aladin.co.kr/product/33605/64/cover200/k072939705_1.jpg
74,흔한남매 16,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,2024-04-25,14500,B015,https://image.aladin.co.kr/product/33815/12/cover200/k832930683_2.jpg
75,시대예보: 호명사회,송길영 지음,교보문고(단행본),2024-09-26,22000,B004,https://image.aladin.co.kr/product/34646/12/cover200/k542933687_2.jpg
